,path_x,sentence
398,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19071747_10.mp3,estamos vivos. ha funcionado .
399,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19087614_5.mp3,¿Dónde esta la sección de deportes? segunda planta a la derecha
400,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19092646_10.mp3,no intentes contármela:
401,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19095553_7.mp3,La subida a la ermita se hacía de rodillas.
402,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19095577_8.mp3,bueno. pero no me ha dado miedo
403,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19097154_6.mp3,"Vuelvan a sus vidas, ciudadanos. El show terminó ."
404,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19105154_7.mp3,"Las faltas del vecino hanse de conocer, no de aborrecer."
405,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19106282_5.mp3,Si tenemos diciembres cuajados de luceros.
406,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19111025_7.mp3,"bueno, el esparadrapo es temporal ;"
407,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19111083_7.mp3,Los ranchos de tejas por el sol doradas.
408,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19114778_6.mp3,Este es el comienzo de la historia.
409,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19120132_5.mp3,"Para, finalmente, darse cuenta de que con quien mejor está es con su Sagrario."
410,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19122554_7.mp3,"Fue sacerdote católico, pero ahora está secularizado."
411,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19122622_8.mp3,"Dichas actividades abarcan la organización de conferencias, y cursos intensivos de actualización y perfeccionamiento."
412,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19122828_8.mp3,"Considera posible la redacción en Roma, teniendo como referencia concreta al Pastor de Hermas."
413,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19122829_5.mp3,El comercio en la microrregión es el más intenso del interior.
414,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19122897_7.mp3,Pasó más tarde a la revista Flama y al Rádio Clube Português.
415,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19124162_8.mp3,En el lateral izquierdo de esta fachada existe una espadaña con una pequeña campana.
416,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19124423_9.mp3,Todavía no ha clasificado a ninguna edición del Trofeo Mundial que organiza World Rugby.
417,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19124651_6.mp3,Se encuentra en el Gabón.
418,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19125223_9.mp3,Su base electoral es la clase media urbana.
419,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19125365_7.mp3,Lotario I se estableció en Italia y fue el depositario del título de emperador.
420,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19125415_9.mp3,"Este último fue sucedido por su hijo, el quinto baronet."
421,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19126113_8.mp3,Esta amplificación la realizan gracias al motor.
422,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19126157_6.mp3,"Integró el consejo de dirección de ""Diario de Poesía""."
423,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19128958_6.mp3,Roberts aceptó reunirse con ellos para ver la demostración en pocas semanas.
424,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19129468_10.mp3,Los Jaffa aprovechan esta oportunidad y obligan a Ba'al a huir.
425,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19129792_8.mp3,Tomó antibióticos para combatir la infección pero le afectaron a su salud.
426,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19129931_5.mp3,A punto estuvo de ser cerrado por los superiores de la Orden.
427,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19130349_7.mp3,Su capital es la ciudad de Strakonice.
428,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19130958_7.mp3,"Conoce al fallecido pintor Carlos García, padre de su único hijo Adriano."
429,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19132529_7.mp3,"Se trasladó a España, y en Toledo completó su formación militar."
430,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19132948_6.mp3,Sus laderas estaban cubiertas por frondosos pinares.
431,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19132966_10.mp3,Más tarde une a la academia.
432,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19132969_8.mp3,La tonalidad de la coloración varía ampliamente.
433,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19133079_7.mp3,"Sin embargo, afirmó que no parecían funcionar bien cuando se aplicaba al modo multijugador."
434,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19133086_8.mp3,Desde el nacimiento toma dirección norte.
435,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19133243_6.mp3,Ha sido candidata a los premios Óscar y a los Globo de Oro.
436,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19133415_9.mp3,"Pero no era considerado un político original, ni de ideología claramente definida."
437,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19133488_10.mp3,"En cuestión de juego, fue importante su rol de jugador polivalente."
438,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19133579_6.mp3,"Suele prepararse al horno, y en la mayoría de los casos encontrarse envasado."
439,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19133771_9.mp3,Imágenes y personajes de Antofagasta.
440,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19133956_10.mp3,Realizó talleres en La Casa del Teatro del cubano Jorge Cao.
441,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19134047_8.mp3,"Letras por Chris Barnes, excepto donde se indique lo contrario."
442,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19134296_6.mp3,Tiene la figura de una D achatada cuyo frente mira hacia proa.
443,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19134641_5.mp3,El Doctor despierta de repente y utiliza su destornillador sónico para destruir el árbol.
444,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19134683_10.mp3,"Está situado sobre una meseta, rodeada por el Duero."
445,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19135357_5.mp3,En Colombia hay oficinas en Bogotá y Cartagena de Indias.
446,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19135498_10.mp3,Estudió en la Royal Academy of Dance.
447,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19136406_10.mp3,"A su regreso a Colima, fue encargado docente y director del Hospital General Colimense."
448,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19137178_10.mp3,"La mayoría, sin embargo, se inclina a considerarlo árabe."
449,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19138166_10.mp3,Taylor comenzó su vida laboral como periodista.
450,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19138344_5.mp3,"El cuerpo era pesado, con forma de barril, apoyado sobre patas cortas y robustas."
451,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19138358_9.mp3,Allí pasó los primeros años de su infancia.
452,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19138438_8.mp3,Con esta motivación se creó Code::Blocks.
453,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19138787_8.mp3,Su autoridad superior es el Ministro de Estado de Hacienda.
454,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19138854_10.mp3,"Aunque inicialmente frías la una con la otra, ambas terminan siendo amigas."
455,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19138870_5.mp3,La misión principal tuvo una duración de un año terrestre.
456,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19138980_6.mp3,Su obra expuesta en varios países europeos.
457,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19139012_10.mp3,El trabajo de Daly en las histonas es ahora considerado fundamental.
458,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19139029_7.mp3,"Padre de la cantante Malú y perteneciente a la saga de ""Los Lucía""."
459,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19139109_6.mp3,Tiene la arena tostada oscura y grano de tamaño mediano.
460,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19139111_5.mp3,Ese mismo año ocurre la disolución del grupo.
461,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19139258_8.mp3,En respuesta los obreros ocuparon la fábrica y tomaron rehenes.
462,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19139265_8.mp3,El hocico se hace más ancho hacia el frente.
463,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19139320_6.mp3,Los fondos hoy sostienen un programa de escritura creativa.
464,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19139603_9.mp3,Sin duda la versión más difundida es la de Janis Joplin con guitarra acústica.
465,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19139820_10.mp3,Todo el trazado del antiguo pueblo refleja un perfecto urbanismo medieval.
466,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19140263_5.mp3,Primero comienza a revivir sus recuerdos de niñez y juventud.
467,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19141137_8.mp3,"Por lo general, tienen un sabor amargo."
468,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19141641_5.mp3,"Enseguida conocerá a Gerardo, el hijo del alcalde, con el que mantendrá una relación."
469,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19142337_7.mp3,La corteza es rojiza con la madera dura.
470,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19142434_8.mp3,Estudió biología marina y religiones comparadas en San Francisco.
471,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19148106_10.mp3,Trata sobre tres convictos que quieren escapar de la Isla del Diablo.
472,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19148119_8.mp3,"Fue copropietario, junto a Gerardo Díaz Ferrán del Grupo Marsans."
473,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19148131_10.mp3,"En prensa escrita ha sido colaborador de ""El Correo Catalán"" y la revista ""Ondas""."
474,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19148855_8.mp3,Su equipo actual es el Al-Qázeres de la Liga Femenina.
475,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19149284_5.mp3,Era hijo de bolivianos y estudiante de derecho.
476,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19149352_10.mp3,Su excelente estado le hizo ser declarado monumento nacional.
477,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19150230_9.mp3,"Se encuentra en China, noreste de la India y Birmania."
478,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19150778_7.mp3,La parte con más lluvia es el suroeste.
479,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19151236_9.mp3,"En este álbum el compositor crea una ópera oscura, ambientada con sonidos electrónicos."
480,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19151363_8.mp3,Helene Weigel le dio un abono vitalicio en el Berliner Ensemble.
481,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19152162_6.mp3,Un traje alternativo de Ness en Super Smash Bros.
482,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19153083_7.mp3,Es uno de los torneos de fútbol más importantes de la ciudad.
483,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19153268_6.mp3,Están organizadas por la Federación Española de Ciclismo.
484,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19157734_7.mp3,"Son enredaderas perennes, con tallos pilosos."
485,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19157736_6.mp3,"Según lo que dice Rex, tiene un gusto por la menta."
486,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19158060_8.mp3,Este campus cuenta con instalaciones tanto para la docencia como para las actividades complementarias.
487,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19160991_6.mp3,Ediciones Botella al Mar.
488,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19161190_6.mp3,Actualmente el juego no está.
489,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19161304_7.mp3,El título está grabado variadamente en los manuscritos.
490,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19161323_8.mp3,Sus obras han sido traducidas a varios idiomas.
491,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19161406_9.mp3,El álbum no logró buenas ventas.
492,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19161437_6.mp3,El siguiente cladograma sigue este análisis.
493,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19161681_6.mp3,Al principio John solo lo tomaba como un reto.
494,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19162593_9.mp3,"Realmente, no lo puedes saber."
495,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19164603_5.mp3,"Como resultado de esta instalación, publica un libro que reúne los montajes realizados."
496,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19164886_8.mp3,Estudió en los colegios Alameda de Osuna y Colegio del Pilar.
497,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19165473_9.mp3,Gran parte de la población pertenece a un grupo indígena.
498,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19167346_6.mp3,Recientemente se ha considerado la especie recuperada en Andalucía.
499,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19168484_7.mp3,La compañía es mundialmente conocida por ser la creadora de la llave de combinación.
500,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19170447_6.mp3,"Por ello cuenta con un clima variado, con diferencia notables en la temperatura promedio."
501,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19172374_8.mp3,"Pueden añadirse más frutos secos enteros como acompañamiento o decoración del ""nut roast"" terminado."
502,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19172505_6.mp3,"A su vez, Patricia emprendía otra diferente formación como modelo y actriz."
503,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19172547_8.mp3,"Construyó una de las primeras basílicas del Foro, la luego llamada Basílica Emilia."
504,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19172648_7.mp3,Su viuda Cecilia y sus hijos que continúan tocando juntos le sobreviven.
505,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19172776_7.mp3,La película tuvo en su mayoría críticas negativas.
506,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19174868_5.mp3,Fue defensora de sobrevivientes de genocidio y otros abusos de derechos humanos en Guatemala.
507,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19174890_10.mp3,Puede transportar hasta ocho pasajeros.
508,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19174922_6.mp3,Es altamente expresado en ratones y en humanos durante el desarrollo.
509,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19175060_9.mp3,Las láminas están apiladas y libres de adhesión al tronco.
510,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19175184_10.mp3,"Por lo tanto, los mensajeros mexicas utilizaban continuamente esta ruta."
511,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19177807_6.mp3,Ha sido Secretario Gral.
512,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19178853_6.mp3,En la escuela dibujaba a sus maestros en pizarras y cuadernos.
513,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19178934_8.mp3,"Sin embargo, al retornar del Perú las tropas chilenas Ruiz va siendo acorralado."
514,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19179599_10.mp3,"Nació en el barrio de Entrevías, Madrid."
515,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19179653_6.mp3,"Destacan el cultivo de la viña, olivos y cereales."
516,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19183866_8.mp3,Aun cuando son manipuladas usualmente no muerden.
517,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19184291_9.mp3,"El cuello presenta impresiones, pequeñas esferas y líneas incisas."
518,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19184303_9.mp3,Dicha base estaba destinada a recibir la estatua de la Reina que nunca llegó.
519,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19184582_8.mp3,Una de sus primeras medidas fue ascender a Moltke a jefe del Estado Mayor.
520,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19184794_10.mp3,Como otros saltarines se alimenta de frutas y algunos insectos.
521,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19190139_6.mp3,Se creó una compañía profesional estable.
522,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19191908_7.mp3,El interior del hospital ha sido diseñado para permitir los cuidados familiares.
523,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19195390_7.mp3,Su cuerpo es aplanado y comprimido lateralmente.
524,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19195690_7.mp3,"Esta película fue filmada en los suburbios de Montreal, Canadá."
525,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19198637_8.mp3,Su hábitat es el sotobosque de selvas húmedas tropicales de baja altitud.
526,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19198643_8.mp3,Una norma es una puntuación mínima determinada por la categoría del torneo.
527,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19198649_6.mp3,En ninguna ocasión ha logrado representación parlamentaria o institucional.
528,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19199903_10.mp3,"El procónsul, testigo de los hechos, se convirtió al cristianismo alabando al Señor."
529,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19200182_7.mp3,Los puntos duros controlan los valores estáticos y la cinemática de la suspensión.
530,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19200199_5.mp3,Este modelo se denominó en el mercado indio como Ford Ikon.
531,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19200714_5.mp3,Impartió clases literatura portuguesa y brasileña en el King's College de Londres.
532,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19200798_7.mp3,"Como narrador, es diestro y de fino estilo."
533,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19202448_8.mp3,El grupo se dispersó y cada miembro se dedicó a otros proyectos.
534,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19203731_6.mp3,Fueron detenidos por la policía georgiana.
535,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19219081_6.mp3,"Además, otras figuras de santos: San Luis Gonzaga; Santo Domingo Savio."
536,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19219269_9.mp3,Por esta razón la vaina es cónica.
537,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19220584_8.mp3,El sistema de refrigeración se encarga de que se enfríe el reactor.
538,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19221231_7.mp3,Está situado en la parte central de la Vega de Granada.
539,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19228264_8.mp3,Con posterioridad se dedicó al mundo de los negocios.
540,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19228287_6.mp3,Puede accederse en metro y en tranvía.
541,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19242207_7.mp3,"En la posguerra publicó algunos libros más, uno de ellos de avicultura."
542,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19242371_10.mp3,Algunos modelos especiales utilizados por Lanús son los siguientes.
543,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19242510_7.mp3,Afrontó la parcial peatonalización y profunda reforma del centro de la capital.
544,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19242521_7.mp3,Los temas de este disco cubren los estilos pop rítmico y balada romántica.
545,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19242558_5.mp3,"No obstante, fue repartiendo sus posesiones entre sus hijos antes de morir."
546,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19243737_5.mp3,"Esta fue su primera obra traducida al castellano, por Enrique Gaspar."
547,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19245230_5.mp3,Las larvas se alimentan en varios tipos de hierba.
548,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19250352_8.mp3,El mantenimiento logístico de la unidad estaba a cargo de los alemanes.
549,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19250488_9.mp3,"Algunos cócteles se consumen en grupo, como el ""cuenco de escorpión""."
550,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19250635_8.mp3,No se considera humano.
551,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19250754_6.mp3,Fue hijo de Alfonso X y de Elvira Rodríguez de Villada.
552,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19255767_8.mp3,La primera tarea de Zabala fue revertir esta situación.
553,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19260600_10.mp3,"Ptolomeo confía su flota a Seleuco, que lleva a Chipre y Asia Menor."
554,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19260655_9.mp3,Las Aventuras de Eutimio recibió una constante critica por parte de la prensa.
555,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19261195_9.mp3,"Entre sus predadores están los coyotes, el lince rojo, águilas, halcones, tejones y comadrejas."
556,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19262193_8.mp3,Un infame crítico de comida es encontrado muerto en un restaurante.
557,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19263675_9.mp3,En algunos países ha obtenido reconocimiento legal oficial como religión.
558,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19265432_9.mp3,"Más tarde comenzó con el corto, Distinto, con el director Ignacio Nieto."
559,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19266059_5.mp3,"Persa para los manuscritos creados en Irán, en particular durante el período mongol."
560,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19268608_6.mp3,Los efectos secundarios pueden incluir irritación de la piel y decoloración de la ropa.
561,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19268672_6.mp3,Pero los nuevos cambios no solucionaron la situación.
562,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19270030_10.mp3,En el Abierto de Francia jugó su segundo torneo de Grand Slam.
563,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19270457_10.mp3,El área vio enormes bajas a ambas fuerzas militares y civiles.
564,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19271600_9.mp3,Las aletas pectorales son muy alargadas y las extienden en forma de abanico.
565,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19280931_6.mp3,La opinión de alguno o algunos autores en cualquier materia.
566,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19281164_6.mp3,Crea patrullas regulares y con su valor y actitud asciende a sargento.
567,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19281207_6.mp3,"Fue incluida en la planificación de terrenos reservados para un ""jardín botánico""."
568,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19283119_8.mp3,El sacerdote le comenta su proyecto de fundación y ella se decide a ayudarle.
569,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19283126_9.mp3,Esta edición fue lanzada al mismo tiempo que la original en todo el mundo.
570,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19283141_5.mp3,Tiene licencia como piloto aeronáutico.
571,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19283332_8.mp3,Tiene las características del movimiento arquitectónico modernista Sezession.
572,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19284428_6.mp3,Fue además premiado por la asociación belga de Amnistía Internacional.
573,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19288412_6.mp3,Los trabajadores que llevaban el convoy ajustaban sus relojes a la hora de Londres.
574,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19291181_8.mp3,"Nieva mucho en invierno, permaneciendo durante un promedio de cuatro meses en la ciudad."
575,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19291741_10.mp3,En menos de tres meses se vuelve una mujer dueña de sí misma.
576,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19291771_10.mp3,La viga es uno de los elementos cruciales.
577,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19291876_9.mp3,Estuvo dos veces de baja por enfermedad prolongada.
578,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19292809_7.mp3,Esta competición surgió de la tradición de la caza.
579,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19293024_8.mp3,"En la Antigüedad, había una ciudad con su mismo nombre."
580,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19293206_10.mp3,La infraestructura de la propia estación incorpora un aparcamiento para bicicletas.
581,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19293254_9.mp3,En ese cargo permaneció hasta la muerte de su maestro.
582,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_19294533_5.mp3,Las ofensivas eran una escopeta de unos tres pies y medio y una pistola.
